rating,ulasan,tanggal,nama_pengguna
negatif,"Aplikasi g jelas... Mau daftar aja susah banget.. Verifikasi muka g bisa2.. Pdhl gambar udah jelas, masuk dlm bingkai, senyum, kedip, geleng kanan/kiri, tp ttep aja g bisa.. Tolong diperbaiki, soalnya skrg kl mau kontrol ke RS hrs pake mobile jkn.. Hedeuh...",18 Maret 2025,Bu Wartini
negatif,"udah hampir sebulan yang lalu saya instal ini apk ko sampai saat ini belum bisa login juga dan selalu masalahnya pada saat ambil foto dan pada akhirnya layanan bermasalah respon dari apk nya ini maksudnya gmna kok serumit ini, tolong dong diperhatikan, sayang kalau dibuat tapi terkadang hal sepele bagian daftar diri untuk login ajah sudah dan itu bikin rumit para user, jadi kemudahannya di bagian mana kalau begini",3 April 2025,Saikun Abdullah
negatif,"Setiap kali dicoba buat daftar online ga pernah bisa, ada aja kendalanya. Sudah banyak ulasan yang kasih feedback kurang menyenangkan, belum juga ada perbaikan. Dibalas saja tidak. KALAU ADA FEEDBACK DIBACA PAK/BUK, lebih baik lagi dibenahi. Di lapangan kalau periksa disarankan online, aplikasi aja ga ada yang bisa buat daftar.",26 Februari 2025,Joko Wardoyo
negatif,"Sekarang sering eror gabisa daftar online ke faskes. Tiap daftar online ke faskes 1 pasti statusnya ""transaksi belum dapat diproses"" Lalu mau daftar ke faskes lanjutan statusnya ""maaf anda sudah terdaftar di tanggal xxx"" tapi no. antriannya gk muncul seperti biasa, malah gk ada status saya sudah daftar di tgl tersebut dan ke RS pun percuma karena harus lewat mobile JKN buat daftarnya. Tolong dong diperbaiki! Menyusahkan yg mau berobat aja!",17 April 2025,Kadita Kinar
negatif,"Kok bisa sih udah banyak yang bintang 1 tapi ratingnya tetep tinggi? Lagi lagi keluhannya sama semua, dari verifikasi wajah, nomor berubah sendiri, dan kode OTP lama dikirim. Udah sebanyak itu yang protes kenapa nggak kunjung diperbaiki? Bukannya mempermudah masyarakat menengah kebawah malah makin mempersulit!. Kalo sekiranya sekarang serba digital, buat nerima kode OTP nggak perlu dari SMS! Itu kuno banget, sekarang udah ada Whatsapp. Pake apk itu buat kirim kodenya!!!",16 April 2025,Farrel Aulia Rahman
positif,"min 2021 aplikasi sering bermasalah, kemudian seiring waktu membaik dan sudah kasih bintang 5. Sekarang kok ada masalah lagi ya mau ganti faskes 1 saat pengecekan wajah gagal terus padahal sudah mengikuti petunjuk. Bagaimana ini mau ganti faskes gak semudah sebelum2nya. Infonya min makasih",25 Februari 2025,Septea Andre
negatif,"aplikasi sangat rumit susah dibuka. sdh sukses atau berhasil selanjutnya dibuka lagi untuk digunakan malah tdk bisa, disuru loging lagi, bingung mau loging apanya tdk ada fiturnya. benar benar bikin susah. lebih bagus kembali pakai kartu seperti dulu lagi. trmksh.",1 April 2025,Mirwan Panehoru
negatif,"Saya kasih bintang 1, karena bukan mempermudah, tapi mempersulit. di perangkat ku sudah terblokir karena dari awal pihak mobile jkn tidak memberi tahu batas jumlah akun yang bisa login, dan saat di tanyakan ke call centre bpjs langsung, sudah tidak bisa, harus ganti perangkat/smartphone. sudah update terbaru, tetap saja tidak bisa login, KECEWA..!!",7 April 2025,Ceng Ifank
negatif,"bagi yg mau daftar dan sms kode OTPnya tidak lekas diterima,silahkan melakukan pengisian pulsa.karena utk menerima sms kode OTP tsb dikenakan biaya pulsa.utk verifikasi wajah ternyata tidak susah,asal hpnya mendukung. jika terjadi nomer tlp yg tertaut dgn aplikasi ini tiba² berubah sendiri,itu banyak yg mengalami.dan utk yg satu ini saya belum menemukan jawabanya.",12 April 2025,orang sisa sisa
negatif,"Aplikasi banyak mengalami cukup kendala, dan itu cukup merepotkan bukan malah memudahkan..mohon sekiranya di perbaiki, pertama waktu verivikasi wajah saat daftar itu lama banget, kedua SMS suka lambat masuk ujungnya ujungnya terlanjur kesel pesan baru masuk..tapi pulsa udh ke sedot duluan alhasil harus ulang lagi isi pulsa lagi, ketiga udh selesai mau login malah di persulit lagi nomor nik udh benar di bilang salah, chaptcha benar di bilang salah, ini bukan pemain bola jadi jgn salah Mulu..",8 April 2025,Retiko Yoga
negatif,"Aplikasi jelek, lambat prosesnya, registrasi pake nomor yang belum pernah dipake ngga bisa terus padahal belum pernah dipake buat daftar. Verifikasi sangat lama gagal terus padahal signal aman kondisi ruang juga aman",12 Maret 2025,isna maulidatunnisa
negatif,"Kalau blm siap, jangan mengarahkan pengobatan melalui aplikasi. Aplikasi justru mempersulit, pilihan untuk verifikasi akun tidak berguna semua. Menyulitkan lansia untuk melakukan pengobatan karena diharuskan mendaftar melalui JKN. Verifikasi melalui SMS sangat lama dan gagal, kode otp tidak dikirim sama sekali padahal nomor sudah benar. Melalui email, malah disarankan untuk memakai fitur verif sms, pakai no hp malah apk mengatakan blm bisa.",10 Maret 2025,Ttk d
negatif,"Aplikasi SAMPAH ..!!! DEVELOPER APLIKASI AMATIR. Era transisi digitalisasi harusnya mempermudah administrasi malah mempersulit. Bayangkan orang yg butuh pengobatan serius harus dihadapkan dengan syarat aplikasi PREMATUR begini. sudah daftar kunjungan online jauh-jauh hari, tapi masih harus antri lagi di pendaftaran administrasi berjam-jam, begitu masuk ke poli masih antri lagi sekian lama,digitalisasi administrasi bukannya menpermudah, malah semakin bikin sistem administrasi makin berjenjang",14 April 2025,Deb Muhammad
negatif,"Bisa gak sih hilangkan notifikasi ""Demi keamanan akun anda ubah pin secara berkala"" Gak perlu bolak balik diubah, kau pikir enak hapalin pin yang bolak balik ganti. Notifnya ganggu, ibu saya gaptek jadi susah mau berobat gara gara notif gaguna. Tiap mau buka aplikasi selalu muncul. Belum ada sebulan diganti udh nyuruh ganti lagi. Bisa gk sih nambahin fitur2 efisien. Yang useless gak ush dimasukin. Ini apk berobat, apk bank aja gak ada nyuruh bolak balik ganti pin.",11 Maret 2025,Yoga Pranata
negatif,"Layanan pemerintah aplikasi nya jelek banget, kalau ga mampu buat bikin aplikasi yg bagus mending ga usah pake aplikasi... Lemot, padahal jaringan full. Pakai wifi pun sama lemot . Yg berkualitas lah kalau bikin aplikasi, perbaiki lagi, biar ga berat",24 Februari 2025,Moch Rif'at Azizi
negatif,"Aplikasi tolol yng pernah ak unduh. Udah berapa kali log in ga pernah langsung terbuka, captcha keseringan loading, udh uninstall juga itu captcha masih loading muter muter ga jelas padahal jaringan udh lancar. Klo bukan aplikasi ga penting mana mau ak download",28 Februari 2025,Habibie Syauqi
negatif,"udah coba daftar berkali-kali tapi ga bisa juga. Pas masukin nomor hp, tulisannya nomor hp sudah digunakan kok aneh yaa, padahal belum pernah daftar. Mohon aplikasinya diupdate yg simpel dan mudah cara daftarnya, ga seribet ini. Mau berobat jadi ga bisa, sedangkan dari faskes 1 ga melayani offline. Bagaimana solusinya...?",22 Maret 2025,heri_ fismat
negatif,merubah data harus pake pulsa buat verifikasi nomor. malah bikin nambah pengeluaran. harus nya di bikin gratis. kan bisa lewat whatsApp buat verifikasi nomor malah di bikin SMS. sudah kayak polling polling di TV dulu pake SMS segala. mending pindahin ke whatsApp.,19 Maret 2025,Adi permana Sidik
negatif,"coba tolong dipermudah lagi dibagian daftar akun, ini kan aplikasi buatan pemerintah, harusnya mempermudah bukan mempersulit, di jaman serba online gini ga semua orang punya pulsa. repot banget mau daftar buat ke RS besok kode OTP dikenakan biaya, bukan ga mampu isi pulsa, kenapa ga coba di upgrade supaya bisa masuk ke WA aja kodenya, yg penting nomor benar nomor kita dan aktif. tengah malem jd emosi sendiri.",15 April 2025,Syabil Alfarizi Setiawan
negatif,"Setiap mau check in selalu tidak bisa, jadi percuma daftar lewat aplikasi ini antrean pertama, sampe ke faskes lanjutan harus daftar manual di sana karena tidak bisa check in, nomor antrean jadi berubah. Tolong diperbaiki.",3 Maret 2025,Mohammad JS
negatif,"saya dari tadi daftar, kendalanya ada di kode otp yang tak kunjung saya terim di SMS, opsional lewat email, muncullah kodenya, tapi pada saat registrasi, nomor telepon wajib diisi, dan ternyata itu masuk ke pengiriman kode otp yang tak kunjung saya terima lewat SMS, tolong diperbaiki, setiap keluhan yang ada di ulasan ini,",20 Maret 2025,Andi Angggara09
negatif,"Tiba tiba logout sendiri, giliran mau login selalu ada tulisan nik/pasword salah, padahal udah bener tetep aja salah. Saya coba klik lupa kata sandi, terus mengirim kode verifikasi lewat sms, tetep gak ada sms masuk, padahal nomer aktif, sangat payah apk/servernya",10 Maret 2025,Mega Yulia
negatif,Makin kesini aplikasi ini SEMAKIN TIDAK membantu sama sekali. Setiap minggu harus diupdate dan proses update memakan waktu yang lumayan cukup lama meskipun kecepatan data internet sangt bagus. Tolong diperbaiki karena jika seperti ini aplikasi ini malah MENYULITKAN dan MERRPOTKAN bukan membantu masyarakat.,5 Maret 2025,Samsung 123
negatif,"Setiap mau daftar ke faskes rujukan selalu gagal proses simpan data, cek kuota ada, sinyal ada, hape oke. Mending balik lagi daftar lewat RS nya langsung bisa lewat WA dapat deh kuota pelayanannya. Ketimbang di Mobile JKN gagal terus!",26 Februari 2025,sifo ra
negatif,"Tolong sistem otp nomer hpnya diperbaiki, masa tekan x hilang kolom otpnya, isi ulang disuruh nunggu lama lagi, belom lagi error gak bisa kirim otp ulang, tebak, apa yang lebih luar biasa?, ketika mau memhubungkan ke 'bugar' melalui google fit, malah aplikasi dianggap aplikasi berbahaya",18 Maret 2025,DataBase 6179
negatif,"aplikasi nyebelin parah sih. masa udah daftar berulang kali, verifikasi wajah berulang kali tetep ga terdeteksi? buat kepentingan & kesehatan aja dipersulit, kacau. koneksi udah bagus gada kendala, cahaya juga udah terang banget, posisi juga udah pas didalam kotak masih aja gabisa terverifikasi! buruk ga membantu👎",25 Maret 2025,Ibu Satinah
negatif,"Aplikasi masih banyak minus nya, digunakan aplikasi biar tidak menyusahkan untuk membuat reservasi lah menggunakan apk ini malah disusahkan waktu mendaftarnya, mesti ke sini lah mesti ke situlah. Lalu pas sudah masuk malah akun nua sering diblg belum terdata, tolong lah yang sulit jgn dipersulitkan lagi",11 Maret 2025,Herman Samosir
negatif,"Rusak. Mau daftar aja kode verifikasi nya gak masuk-masuk, padahal email bisa. Udah dicoba pakai perangkat dan nomor telepon yang berbeda tetap aja nomor verifikasi tidak muncul sama sekali. Sekelas aplikasi negara yang udah hampir 10 tahun usianya masih bisa error sesimpel ini? Padahal butuh bgt daftar ke Mobilr JKN buat daftar ulang Kuliah👎🏼",25 April 2025,Abraham Watubere (Bram)
negatif,"aplikasi ribet. mau daftar vermuk aja susah. kebanyakan di gagal, padahal jaringan bagus. Kasian kaum para lansia yang bermodalkan device sederhana, sedangkan ke kantor cabang selalu penuh.",24 April 2025,Bayu purnama putra
negatif,Registrasi susah bngt.. dicoba berulang kali selalu tdk bisa / tdk dapat kode otp pdhl sudah dicoba berulang kali.. kualitas jaringan sangat baik.. jadi jgn nyuruh cek jaringan.. krna ini jelas² masalah di aplikasi nya.. buktinya bkn sy sendiri yg ngalamin kyk gini.. tp bnyk bngt yg lain yg ngalamin hal yg sama.. !!!,8 April 2025,D Resnadi
negatif,"aplikasinya sudah bagus, namun yg jadi masalah adalah di verifikasi nomor telepon. kenapa saya tidak menerima kode otp sedangkan nomor telepon masih aktif, pulsa pun mencukupi? jaringan selular dan wifi pun sinyalnya bagus, apakah ada jam operasional khususnya? mohon berikan penjelasan anda jangan membuat semua orang kesal dengan hal sepele seperti ini, jika memang sistem yg memberikan kode otp ya mengapa tidak sampai ke tangan penggunaannya? aneh. *baca pesan dari saya lewat gmail yg saya kirim",25 Maret 2025,Rayyan Pratama
negatif,"Pendaftaran pelayanan (antrian) faskes rujukan rs sering coba lagi/gagal terhubung. Check in RS jg aplikasinya sering loading akhirnya selalu di check in kan petugas. Kemudian info riwayat kesehatan bagian isi pesan & kesan setelah berobat juga simpan hasil survey gagal coba kembali, menu skrining tidak menyimpan riwayat pengisian sebelumnya. Aplikasi sering loading lama. Antrian di RS panjang, daftar cuma lewat APK akhirny sering tidak kebagian antrian. Merugikan pasien yg mau berobat.",20 Maret 2025,Nur Wahjuni
negatif,"Untuk respon kecepetan pada aplikasi sangat lambat kita harus menunggu lama untuk aplikasi tolong diperbaiki lagi respon kecepatan tampilan pada aplikasinya, dan untuk proses pembayaran di proses lama padahala sudah dibayar tolong dong perbaiki lagi sistemnya supaya lancar dan tidak error terima kasih.",9 Maret 2025,Yusuf Bintang Mulyana
positif,"ini gimana sih, nunggu verivikasi kode otp ke SMS kok gak bisa,kok gak di kirim kirim kode otpnya, apakah sedang gangguan? padahal pesan pesan yg lain masuk semua, padahal nomor sudah benar,tidak ada yg keliru satupun",14 April 2025,yudi monton02
negatif,"bikin apk kaga niat kek nya, kode otp ngk masuk, verifikasi wajah juga gagal terus, di coba di 3 hp berbeda dan akun berbeda, tetep ngk bisa, tolong perbaiki dan kembangkan aplikasi nya dengan semangat, bukan cuma niat",6 April 2025,Hero
negatif,"nambah kesini aplikasi nambah sulit aja, klo pepatah bilang ""kalau bisa sulit kenapa dipermudah"" Benerin dong aplikasinya, jgn bikin malu... ini kan aplikasi pelayan kesehatan, yg mana perlu cepat ketika dalam keadaan darurat kenapa harus pakai Selfi segala??? bayangkan orang sedang sakit dengan kondisi darurat mau mengurus perubahan dan harus Selfi gimana ? tolong lah dipermudah untuk proses2 perubahan, gak harus ada selfi segala, ini kan buat kesehatan bukan buat pinjem uang.",9 April 2025,Rachmat Al Insan
negatif,"aneh nomor tidak sesuai dengan yang didaftarkan, dan verifikasi ulangnya sangat dipersulit. mohon diperbaiki, untuk berobat saja dipersulit. masih mending jika fasilitas aplikasi terpenuhi masih mending,ini banyak sekali bug dan kekurangan. mohon diperbaiki, anggaran hany digunakan untuk korup apa gunanya.",14 April 2025,Syukardi Azuan
negatif,"masukan kode verifikasi, ya mana kodenya, ga dikirim2 kocak, ini sistemnya gimana dah, udah nungguin ratusan detik, menit, ngulang sampe belasan kali juga ga dikirim kodenya. sinyal udah oke, nomor bener juga masih terdaftar. setelah baca rating lain, diliat liat banyak juga yg masalahnya sama kek gini.",30 April 2025,Lia Indah Cahyani
positif,"Lumayan ngebantu efisiensi waktu,dan bisa mantau antrian. Tapi kadang masih sering eror untuk daftar antrian. Untuk Fitur Konsultasi Dokternya tolong ijinkan penggunaan spesial karakter, karena saat ini disana tidak dapat mengirim pesan yang mengandung Titik, Koma, Tanda Tanya dll. Padahal hal itu diperlukan untuk tanda baca sebuah pesan",28 April 2025,AshArt
negatif,"Apk nya punya banyak masalah min, walaupun udah di bawah lampu, udah terang, jelas, tapi kenapa konfirmasi malah bilang, kurang jelas? Dan yang lainnya... Agak kecewa soalnya udah keadaannya darurat dan tidak punya kendaraan di tambah di online punya banyak kesalahan di apk nya.. Mohon perbaiki apk ini🙏, Agar tidak terjadi keadaan yang tidak mengenakkan Mohon perbaiki min🙏.. Ngga kekurangan anggotakan min..?",19 Februari 2025,Senzou Ikuzoo
negatif,"Saat mengisi keluhan keluar ""keluhan tidak bolek menggunakan spesial karakter"" padahal tidak menggunakan spesial karakter/tanda sekalipun.ini sudah terjadi berulang kali mohon diperbaiki,hal seperti ini sangat merepotkan",18 Maret 2025,Ma Roisah
negatif,"saat ingin mendaftar, respon apk nya buruk, saya disuruh mengulang2 instruksi verifikasi wajah, tdk jelas, entah ngehang atau bagaumana padahal si yal saya sudah bagus, dasar apk pemerintah, saya amat tidak puas, ditambah kode otp tdk masuk2 ke pesan nomor saya, cobalah untkdiperbaiki, jgn cuma dibaca doang",8 April 2025,emir ghani
negatif,"percuma bangett diciptakan aplikasi tapi ga berfungsi, padahal disarankan menggunakan aplikasi JKN MOBILE selalu ada kesalahan dalam nomor antrian trobel mulu, bolak balik update jga ga ada perubahan sama sekali.",28 Februari 2025,Zano
negatif,"Aplikasinya kurang membantu, mau kontrol dokter tujuan tidak bisa, malah harus pilih dokter lain. Padahal habis kontrol langsung cepat-cepat daftar tetap tidak bisa, saran RSnya sih 10 hari sebelum kontrol daftarnya, ini saya habis kontrol yg berarti 30 hari, lalu 20 hari sampai 1 hari sebelum kontrol tetap tidak bisa. Nanti alasan RSnya pasti kuota dokternya sudah penuh.",25 April 2025,Kemas Py Pratama
negatif,"aplikasi tidak membantu memudahkan masyarakat, saya sudah punya akun tp pas masuk suruh wajib input autodebet, pembayaran itu sekarang ga harus dari bank / autodebet. pas sudah coba input data bank, aplikasi muter-muter tidak bisa tulis norek.",24 Maret 2025,edwin wirawan
negatif,"apk TOLOLL sekelas nasional tp apk kek gini, ngga banget lahhhh. udh berkali² mau daftar, mesti verifikasi no hp sama email, mana verif no hp makan pulsa lagi, abis itu pas mau verif, tutup jendela apk bentar buat liat pesan verifnya masuk, pas balik ke apk udh ketutup lagi, mulai dr awal lagi, verif lagi, makan pulsa lagi, jendela ketutup bentar buat liat pesan nomer verif, balik² eh ktutup lagi.. artinya mau verif aja kek mission impossible gitu. verif email juga sama kek gitu. ngga bgt deh..",20 April 2025,D Ice
negatif,"info riwayat pelayanan cuma tampil satu anggota saja tidak bisa menampilkan info riwayat pelayanan anggota keluarga yg lain. notif ganti pin muncul terus. minta otp yg tidak dikirim oleh app nya. harus extra sabar pake app ini. pembuat aplikasi seperti masih dlm tahap belajar, banyak di kritik tidak ada pembaruan",23 April 2025,Erie Zk
negatif,"Dari balita sampai lansia disuruh punya no. Handphone yg masih aktif sendiri (emang semuanya punya?) Sedangkan layanan bpjs harus lewat aplikasi dulu, gimana mau lewat aplikasi? Buat akun saja susah. Tolong diperbaiki lagi cara pembuatan akun!!! Biar semua NIk bisa masuk ke aplikasi tanpa terkendala no.handphone.",14 Maret 2025,Gatot Irawan
negatif,"Aplikasinya sering eror kalo mau masuk. Suka logut sendiri. Dan harus login lagi. Dan sekarang, 18 Maret 2025, mau masuk malah disuruh cek koneksi internet, apa apaan ini. Jadi malah gabisa masuk. Udah pake data seluler, trus wifi, masih eror juga. Tolong dong aplikasinya sistemnya dibenerin. Aplikasi nyusahin!!!",18 Maret 2025,irena tasya
negatif,"greget banget,,, klo mau masuk ulang harus didaftarkan autodebit, pdhl sebelumnya udah nyambung autodebit. kebetulan pake i.s*ku dan loading terus error teruss,,, barusan tiba2 keluar,, mau login lgi susah krna harus didaftarkan autodebit lgi,, tpi loadingnya ga selesai2... ditingkatkan lagi deh, biar yg udah ke sambung autodebit tuh pas login di hp lain atau login ulang ga harus nyambungin autodebit lagi,,, stresss rasanya ngeliat loading ga berujung.... bagian loginnya aja tuh perbaiki dulu",7 April 2025,Luthfiyatur Rohmah
negatif,"yang lain aman, cuma yang jadi masalah itu verifikasi wajah yang super sulit... muka udah tepat di kotak tapi keterangannya masih belum tepat di kotak... tolong perbaiki face recognitionnya!",29 Maret 2025,Muhammad Hilmi
negatif,"setiap mau pake finger print tidak sesuai terus padahal pas aktifkan fitur finger print bisa ehh pas ke dua kali malah tidak sesuai padahal masih jari yg sama, masa harus masukin nik lagi sama pw memakan waktu banget",11 April 2025,Dedi Mulyadi
negatif,"ini kenapa mau daftar kontrol melalui pendaftaran antrean faskes rujukan tingkat lanjut, selalu tidak bisa. 1. Dokter tidak tersedia dan tulisan jamnya 00:00-00:00, 2. Saat akan daftar malah muncul nomor antrian hanya dapat diambil 1x padahal saya belum daftar apapun dan ketika on the spot langsung dapat nomer terakhir. Tolong apa bisa dijelaskan??? Terima kasih",27 April 2025,Aldy Tri Yumanjodi
negatif,"aplikasi jelek, selalu pas saat verifikasi wajah banyak aja alasannya. mulai dari ruangan kurang terang ( padahal sudah terang ) dan lainnya. tolong di perbaiki lagi aplikasi nya terutama dalam verivikasi wajah",1 April 2025,Ai Dioka
negatif,"Ini kepada JKN mobile tolong sekali perbaiki sistem OTP-nya karena user tidak menerima kode OTP saat pendaftaran, harusnya sistem otp itu gak boleh error seperti itu, aplikasi swasta saja tidak bermasalah untuk sistem OTP-nya harusnya aplikasi punya pemerintah juga lebih dari itu... TOLONG YA diperbaiki lagi kami sudah muak dengan bantuan via email dll kami butuh penanganan cepat karena ini aplikasi layanan publik loh",22 Maret 2025,Mahesa Hafis
negatif,"ini apk gmn sih? Pas awal daftar saya kesulitan dalam verifikasi wajah, untuk masih bisa diakalin untuk versi kode otp setelah mau daftar antrian ke puskesmas tempat saya setelah daftar semuanya, ingin simpan antrian selalu tidak bisa? Pencet setuju pun selalu balik lagi balik lagi, gajelass katanya saya tidak ada rekam medis faskes tujuan pdhl saya ada toh. Niat bikin aplikasi ga sih? menyusahkan orang sakit saja!!!",16 Maret 2025,zakiyatul aulia
negatif,"Aplikasi sampah. verifikasi wajah sebenernya fungsi atau tidak. gaya gayaan pengen pake sistem biometrik, tapi malah mempersulit akses masuk. memang apapun ditangan pemerintah tidak ada yg berfungsi dengan baik",29 April 2025,Hamzah Shodikin
negatif,"Verifikasi wajah gak jelas, saya daftar nomor 0811 kok malah ke ganti jadi 0821 sih gak jelas juga. mau ganti nomor juga gk bisa, soalnya blm punya ktp APA² DIPERSULIT 👎👎👎👎 Dengerin lah feedback yg ada di PlayStore jgn dikit² ke email.",11 April 2025,Worvexz
negatif,"aplikasi yang seharusnya memudahkan masyarakat jadi mempersulit,pas daftar di suruh isi nomor buat verifikasi eh malah nggak bisa alasannya nomer telepon mati atau tidak memiliki pulsa, padahal nomer masih aktif dan pulsa masih banyak",29 April 2025,Tukang haji naik bubur
negatif,aplikasi kok seperti ini sudah 3x dan seterusnya gak bisa masuk waktunya 300 detik lagi sekali habis waktunya gak ada SMS OTPnya. diopsi OTP lainnya via email bisa tapi harus masukkan no hp sekali masukkan no hp harus verifikasi lagi via SMS bagimana maksudnya kok seperti ini kalau sudah lewat email seharusnya bisa masuk dan melanjutkan registrasi,22 Maret 2025,kang Eka Bayu S
positif,"Aplikasi udah bagus namun sering tiba2 keluar sendiri sehingga harus login lagi dan juga sering gagal masuk karena jaringan... Padahal kuota ada, dan pake wifipun juga demikian... Mohon untuk diperbaiki agar pengguna lebih nyaman menggunakan aplikasi ini..",28 Februari 2025,El_oNe Dwi
negatif,"ini aplikasi untuk mempermudah atau mempersulit? sial daftar registrasi aja nunggu verifikasi nomor HP lamaa, ga muncul² padahal verifikasi untuk email langsung muncul tolongg gausah buat aplikasi seperti ini kalau emang untuk mempermudah pasien, itu ga usah make aplikasi ini!!!",13 April 2025,Alief Zulfahri
negatif,"tolong dong ini aplikasinya di benerin! abis update malah ke logout sendiri!! mau login lagi gak bisa!! padahal password dah bener!!! minta kirimin otp gak pernah dikirim kirim, padahal sinyal lancar jaya!! masa iya saya bolak ke kantor bpjs cuma buat betulin password tiap kali update!!!??? gak semua orang punya waktu! apalagi klo kantor bpjsnya jauh. terus, gunanya whatsapp, email, sama 165 apa??? cuma buat bot chat ""silahkan datang ke kantor bpjs terdekat! "" gitu??!! gak guna banget!!!!",4 April 2025,Wahyu Pujianti
negatif,"Tolong dong maintenance diperbaiki lagi sistemnya, sistem itu harusnya mempermudah bukan mempersulit, kalau mempersulit buat apa dibuat. terutama dalam proses verifikasi wajah dan nomor hp, mau daftar ke RS harus lewat jkn dlu, sedangkan daftar di jkn proses verifikasinya susah bangeet, padahal udah sesuai dengan ketentuan yang berlaku, WAJIB BANGET DIPERBAIKI.",20 Maret 2025,Khafid Mohamed
